State,Count,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)","Percent registered
(Citizen)",Total voted,"Percent voted
(Total)","Percent voted
(Citizen)",Code
ALABAMA,Total,3717,3651,2526,68,69.2,2095,56.4,57.4,AL
ALASKA,Total,518,502,358,69.1,71.3,308,59.4,61.3,AK
ARIZONA,Total,5196,4585,3145,60.5,68.6,2769,53.3,60.4,AZ
ARKANSAS,Total,2216,2116,1456,65.7,68.8,1241,56,58.7,AR
CALIFORNIA,Total,29894,24890,16096,53.8,64.7,14416,48.2,57.9,CA
COLORADO,Total,4242,3895,2893,68.2,74.3,2707,63.8,69.5,CO
CONNECTICUT,Total,2759,2483,1763,63.9,71,1586,57.5,63.9,CT
DELAWARE,Total,729,669,487,66.8,72.8,417,57.2,62.3,DE
DISTRICT OF COLUMBIA,Total,553,512,420,75.9,82.1,380,68.7,74.3,DC
FLORIDA,Total,16202,14428,9604,59.3,66.6,8578,52.9,59.5,FL
GEORGIA,Total,7626,7048,4892,64.1,69.4,4246,55.7,60.2,GA
HAWAII,Total,1064,974,530,49.8,54.4,460,43.3,47.3,HI
IDAHO,Total,1224,1150,790,64.5,68.7,714,58.3,62.1,ID
ILLINOIS,Total,9723,8970,6665,68.5,74.3,5719,58.8,63.8,IL
INDIANA,Total,4988,4795,3298,66.1,68.8,2795,56,58.3,IN
IOWA,Total,2394,2292,1657,69.2,72.3,1454,60.7,63.4,IA
KANSAS,Total,2142,2029,1438,67.1,70.9,1243,58,61.3,KS
KENTUCKY,Total,3348,3246,2253,67.3,69.4,1850,55.3,57,KY
LOUISIANA,Total,3463,3353,2446,70.6,73,2067,59.7,61.6,LA
MAINE,Total,1058,1038,830,78.5,80,754,71.3,72.7,ME
MARYLAND,Total,4623,4158,3114,67.3,74.9,2737,59.2,65.8,MD
MASSACHUSETTS,Total,5374,4967,3660,68.1,73.7,3315,61.7,66.7,MA
MICHIGAN,Total,7624,7332,5434,71.3,74.1,4713,61.8,64.3,MI
MINNESOTA,Total,4190,3985,3055,72.9,76.7,2738,65.3,68.7,MN
MISSISSIPPI,Total,2203,2170,1725,78.3,79.5,1470,66.7,67.7,MS
MISSOURI,Total,4626,4486,3333,72.1,74.3,2906,62.8,64.8,MO
MONTANA,Total,798,790,581,72.8,73.5,521,65.2,65.9,MT
NEBRASKA,Total,1407,1336,1008,71.7,75.5,893,63.4,66.8,NE
NEVADA,Total,2234,1975,1371,61.4,69.4,1195,53.5,60.5,NV
NEW HAMPSHIRE,Total,1044,1012,763,73.1,75.4,698,66.9,69,NH
NEW JERSEY,Total,6862,5958,4165,60.7,69.9,3665,53.4,61.5,NJ
NEW MEXICO,Total,1547,1396,916,59.2,65.6,765,49.4,54.8,NM
NEW YORK,Total,15506,13751,9142,59,66.5,7869,50.7,57.2,NY
NORTH CAROLINA,Total,7631,6960,5194,68.1,74.6,4700,61.6,67.5,NC
NORTH DAKOTA,Total,583,564,424,72.8,75.2,362,62.1,64.2,ND
OHIO,Total,8811,8499,6128,69.5,72.1,5408,61.4,63.6,OH
OKLAHOMA,Total,2923,2746,1861,63.7,67.8,1555,53.2,56.6,OK
OREGON,Total,3185,2929,2147,67.4,73.3,1942,61,66.3,OR
PENNSYLVANIA,Total,9980,9596,6909,69.2,72,6008,60.2,62.6,PA
RHODE ISLAND,Total,836,766,538,64.4,70.3,464,55.5,60.6,RI
SOUTH CAROLINA,Total,3733,3598,2575,69,71.6,2233,59.8,62.1,SC
SOUTH DAKOTA,Total,631,612,437,69.3,71.4,362,57.3,59.1,SD
TENNESSEE,Total,5057,4872,3251,64.3,66.7,2630,52,54,TN
TEXAS,Total,20172,17378,11724,58.1,67.5,9626,47.7,55.4,TX
UTAH,Total,2096,1969,1398,66.7,71,1234,58.9,62.7,UT
VERMONT,Total,500,488,351,70.2,71.9,305,61,62.5,VT
VIRGINIA,Total,6343,5829,4399,69.4,75.5,3973,62.6,68.2,VA
WASHINGTON,Total,5592,5104,3906,69.9,76.5,3382,60.5,66.3,WA
WEST VIRGINIA,Total,1434,1425,913,63.6,64.1,723,50.4,50.8,WV
WISCONSIN,Total,4465,4354,3323,74.4,76.3,3068,68.7,70.5,WI
WYOMING,Total,436,427,304,69.7,71.1,277,63.5,64.8,WY
